#"Step","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1000,-1137583.4960133396,-1056409.1919295576,143.42923894954038,0
2000,-1140230.9960133396,-1056407.733321012,148.10976096350637,24.8
3000,-1142000.4960133396,-1056409.249923197,151.2336622532827,24.8
4000,-1143063.4960133396,-1056415.4070782633,153.10102861569285,24.8
5000,-1145147.4960133396,-1056404.376570055,156.80279895742856,24.8
6000,-1145627.2460133396,-1056410.419295627,157.6398061190293,24.8
7000,-1146811.9960133396,-1056411.8956654696,159.73056671326077,24.8
8000,-1147186.4960133396,-1056400.7163760767,160.41203466769034,24.8
9000,-1148125.9960133396,-1056403.8620625853,162.066506339324,24.8
10000,-1148978.7460133396,-1056396.0311737605,163.5870917429423,24.8
